Directory,Org/Person Name,Org/Person DBA,Org/Person Sort Name,Org Number,Status,Organization/Person Type,Org/Person Main Category,Listing Type,Employer,Org ID,Listing ID,Listing Comments,Listing Internet Comments,Same As Listing Comments,Listing Category,Listing Address 1,Listing Address 2,Listing Address 3,Listing Zip/Postal Code,Listing City,Listing State/Province,Listing Country,Listing Phone 1,Listing Phone 1 Ext,Listing Fax,Listing Fax Ext,Listing Fax Long Distance,Listing Toll,Listing Toll Ext,Listing Url,Listing Email,Listing Facebook,Listing Twitter,Listing Linked In,Mailing Address 1,Mailing Address 2,Mailing Address 3,Mailing Zip/Postal,Mailing City,Mailing State/Province,Mailing Country,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Org/Person NAICS,Sponsor,Total Employees,Total Part Time Employees,Total Full Time Employees,Joined Date,Began Business Date,Org/Person Group Insurance,Org/Person Effective Date,Org/Person Group Term Date,Org/Person Branch,Org/Person Type of Business,Org/Person Board Approval Date,Org/Person New Member Pkg. Mailed,Org/Person Appeared in Briefs,Org/Person Merchant Services,Org/Person Confirmation Date,Org/Person Main reason for joining,Org/Person Main reason for joining,Org/Person Conf. Date,Org/Person Home Insurance,Org/Person Home Effective Date,Org/Person Home Term Date,Org/Person Esso Account #,Org/Person Auto Insurance,Org/Person Auto Effective Date,Org/Person Auto Term Date,Org/Person Welcome Email Sent,Org/Person FIRM #/name,Org/Person Petro Account #,Org/Person Logo Use,Org/Person Reps,Person/Employee Chair Term,Organization Sector,Organization Business Type,Organization Member Type,Organization Dues Category,Organization Designated Reps,Organization Program(s),Person/Employee Status,Person/Employee Level,Person/Employee Designation,Main Contact Prefix,Main Contact First Name,Main Contact Initial,Main Contact Last Name,Main Contact Suffix,Main Contact Title,Main Contact Position,Main Contact Email,Main Contact Salutation,Main Contact Formal Salutation,Special Offer,Special Offer Expires,Special Offer Begin,Special Offer End,Main Listing Contact Prefix,Main Listing Contact First Name,Main Listing Contact Initial,Main Listing Contact Last Name,Main Listing Contact Suffix,Main Listing Contact Title,Main Listing Contact Position,Main Listing Contact Comments,Main Listing Contact Internet Comments,Main Listing Contact Same As Comments,Main Listing Contact Category,Main Listing Contact Address 1,Main Listing Contact Address 2,Main Listing Contact Address 3,Main Listing Contact Zip/Postal Code,Main Listing Contact City,Main Listing Contact State/Province,Main Listing Contact Country,Main Listing Contact Phone 1,Main Listing Contact Phone 1 Ext,Main Listing Contact Fax,Main Listing Contact Fax Ext,Main Listing Contact Fax Long Distance,Main Listing Contact Toll,Main Listing Contact Toll Ext,Main Listing Contact Url,Main Listing Contact Email,Main Listing Contact Facebook,Main Listing Contact Twitter,Main Listing Contact Linked In,Main Listing Contact Org ID,Main Listing Contact Listing ID,OrgCnt,CatCnt
Temporary Directory,2026317 Ontario Ltd,2026317 Ontario Ltd,2026317 Ontario Ltd,5016,Active,Member,Trucking & Transportation Services,Org,,5881,18136,,,Y,,740 River Avenue,,,N9J 3K9,Windsor,Ontario,Canada,(519) 919-0592,,(519) 734-9004,,N,,,,smjenner@sympatico.ca,,,,"3041 Dougall Avenue, Suite 226",,,N9E 1S3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,11/15/2007,5/7/2003,70509 - David Seeley,Nov-07,,,Corporation,Nov 26/07,Dec 18/07,8-Jan,,,,,,,,,,,,,,,,,0,,Transportation,Corporation,General,B (6-15 employees),One,Group Benefits - Seeley,,,,Ms.,Susan,,Jenner,,President,DESIGNATED VOTING REP.,smjenner@sympatico.ca,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Temporary Directory,422872 Ontario Inc.,Azad-Malik Drug Store,422872 Ontario Inc.,5355,Active,Member,Real Estate Holdings & Investments,Org,,6594,14024,,,Y,,1500 Partington Avenue,,,N9B 2P8,Windsor,Ontario,Canada,(519) 903-6057,,(519) 252-3726,,N,,,,,,,,1500 Partington Avenue,,,N9B 2P8,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,10/27/2009,1/1/1979,80319 - David Seeley,9-Nov,,,Corporation,,,,,,,,,,,,,,,,,,,,0,,Real Estate,Corporation,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mr.,Abdul,R,Azad,,President,DESIGNATED VOTING REP.,,,,,N,,,Mr.,Abdul,R,Azad,,President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Temporary Directory,433694 Ontario Ltd.,433694 Ontario Ltd.,433694 Ontario Ltd.,4549,Active,Member,Property Management,Org,,5080,13213,,,Y,Property Management,4880 Walker Rd.,Unit B,,N9A 6J3,Windsor,Ontario,Canada,(519) 737-6671,,(519) 737-6095,,N,,,,jonick@bellnet.ca,,,,4880 Walker Rd.,Unit B,,N9A 6J3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3/24/2006,12/1/1979,63020 - David Seeley,May-06,,,corporation,24-Apr-06,27-Apr-06,Jun-06,,,health benefits,,,,,,,,,,,,,,0,,Real Estate,Corporation,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mr.,John,,Lot,,President,DESIGNATED VOTING REP.,jonick@bellnet.ca,John,,,N,,,Mr.,John,,Lot,,President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Temporary Directory,A Plus Ink & Toner Corp.,A Plus Ink & Toner,A Plus Ink & Toner,5537,Returning Member - Active,Member,Office Supplies,Org,,21603,14372,,,Y,Office Supplies,#3 - 1340 Matthew Brady Blvd.,,,N8S 4R6,Windsor,Ontario,Canada,(519) 945-6064,,(519) 945-0696,,N,,,http://www.aplusinktoner.com/,victor@aplusinktoner.com,,,,#3 - 1340 Matthew Brady Blvd.,,,N8S 4R6,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,1/18/2011,2/14/2009,93143 - J.L. Whiston Fin. Services,,,,,Feb 28 2011 / October 27 2014,March 8 2011 / Nov 7 2014,May/June 2011,,,"discounts, mktg/advertising, networking, group ins",,,,,,,,,,October 29 2014,,,,0,,Service sector,Corporation,General,A (1-5 employees),One,Group Benefits - Whiston,,,,Mr.,Victor,,Vaseleniuck,,Owner,DESIGNATED VOTING REP.,victor@aplusinktoner.com,Victor,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Temporary Directory,A&A Associates Printing and Design Inc.,A&A Associates,A&A Associates,13550,Active,Member,Printing,Org,,28834,18268,,,Y,Web Design,1490 Tecumseh Road East,,,N8W 1C1,Windsor,Ontario,Canada,(519) 988-0159,,,,N,,,http://myprintsupplier.com/,info@myprintsupplier.com,https://www.facebook.com/PrintWorld,,,1490 Tecumseh Road East,,,N8W 1C1,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,5/12/2014,1/1/2003,,,,,,May 20 2014,Sept 25 2014,,,,"Advocacy, Marketing/Advertising",,,,,,,,,,,,,,0,,Other,Corporation,General,A (1-5 employees),One,,,,,,Irfna,,Baig,,Operations Manager,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Temporary Directory,A.P. Plasman Inc.,A.P. Plasman Inc.,A.P. Plasman Inc.,82,Active,Member,Tool Makers / Automotive Plastics,Org,,32,10831,,,Y,Tool Makers / Automotive Plastics,5245 Burke Street,,,N9A 6J3,Windsor,Ontario,Canada,(519) 737-6984,,(519) 737-6572,,N,,,http://www.applasman.com,jason.keys@applasman.com,,,,5245 Burke Street,,,N9A 6J3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,0,900,3/1/1979,1/1/1978,,,,,,,,,,,,,,,,,,# STAJ03,Oct-04,,,,,,0,,Manufacturing,Corporation,General,G (401-950 employees),10,,,,,Mr.,Jason,,Keys,,CFO,DESIGNATED VOTING REP.,jason.keys@applasman.com,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Temporary Directory,A.R.S. Stereo Ltd.,A.R.S. Stereo Ltd.,A.R.S. Stereo Ltd.,2946,Active,Member,Stereo Equipment - Sales & Service,Org,,3109,11662,,,Y,Stereo Equipment - Sales & Service,405 Tecumseh Road West,,,N8X 1G6,Windsor,Ontario,Canada,(519) 977-9155,,(519) 977-9155,,N,,,,mediter2home@hotmail.com,,,,405 Tecumseh Road West,,,N8X 1G6,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,11/10/1999,1/1/1978,,,,,,,,,20689265 - open 11/18/99  (conf. 09/02),,,,,,,,,,,,,,,,0,,Retail - Trade,Corporation,General,A (1-5 employees),One,TD Merchant Services,,,,Mr.,Peter,,Angelidis,,Manager,DESIGNATED VOTING REP.,mediter2home@hotmail.com,Peter,,,N,,,Mr.,Peter,,Angelidis,,Manager,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Temporary Directory,1035333 Ontario Ltd o/a Abrik,Abrik,Abrik,5442,Active,Member,Stucco Applicators,Org,,20769,14175,,,N,,3711 Inglewood Avenue,,,N9E 4P3,Windsor,Ontario,Canada,(519) 966-4965,,,,N,,,http://www.abrik.com,adam@abrik.com,,,,3711 Inglewood Avenue,,,N9E 4P3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,5/31/2010,6/1/1993,28443-Life Concept Financial-Jerzy Malarski,,,,,June 28/10,July 13/10,,,,,,,,,,,,,,July 9/10,,,,0,,Construction,Corporation,General,A (1-5 employees),One,Group Benefits - Other,,,,Mr.,Adam,,Brichacek,,Owner,DESIGNATED VOTING REP.,adam@abrik.com,,,,N,,,Mr.,Adam,,Brichacek,,Owner,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Temporary Directory,Absolute Tool Technologies Inc.,Absolute Tool Technologies Inc.,Absolute Tool Technologies Inc.,4695,Active,Member,Tool and Mould,Org,,5241,13361,,,Y,Tool and Mould,5455 Outer Drive.,,,N9A 6J3,Windsor,Ontario,Canada,(519) 737-9428,,(519) 737-9484,,N,,,http://www.absolutetooltech.com,dencom@absolutetooltech.com,,,,5455 Outer Drive.,,,N9A 6J3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3544,,15,0,15,11/2/2006,1/2/2006,,,,,corporation,27-Nov-06,28-Nov-06,Jan-07,,,directory,networking,,,,,,,,,,,,,0,,Manufacturing,Corporation,General,B (6-15 employees),One,,,,,Mr.,Denis,,Comartin,,VP of Operations,DESIGNATED VOTING REP.,dencom@absolutetooltech.com,Denis,,,N,,,Mr.,Denis,,Comartin,,VP of Operations,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Temporary Directory,"617806 Ontario Inc., o/a A'Burg Lawn Sprinkler",A'Burg Lawn Sprinkler,A'Burg Lawn Sprinkler,4351,Returning Member - Active,Member,Sprinklers - Lawn,Org,,4868,13023,,,Y,Sprinklers - Lawn,P.O. Box 236,,,N9J 2Z4,Amherstburg,Ontario,Canada,(519) 734-8793,,(519) 734-7600,,N,,,,abrglawn@cdpwise.net,,,,P.O. Box 236,,,N9J 2Z4,Amherstburg,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,0,5,2/11/2014,2/1/1980,58716 - David Seeley,Apr-05,,,Sole Proprietor,24-Feb-14,,,,,"Marketing/Advertising, Networking, Health Benefits",,,,,,,,,,25-Feb-14,,,,0,,Service sector,Sole Proprietor,Associate,A (1-5 employees),,Group Benefits - Seeley,,,,Mr.,Paul,,Mooney,,Owner,ASSOCIATE REP (non-voting),abrglawn@cdpwise.net,Paul,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
