ucDirectory_UcListing_lblOwner,ucDirectory_UcListing_lblAddress1,ucDirectory_UcListing_lblCity,ucDirectory_UcListing_lblStateProvince,ucDirectory_UcListing_lblZipPostal,ucDirectory_UcListing_lblFax,ucDirectory_UcListing_lblPhone1,ucDirectory_UcListing_hlWebsite
Waterloo Region Economic Development Corporation,"260 King St W, Suite 201",Kitchener,", Ontario",N2G 1B6,,(519) 747-2541,http://www.wredc.ca
Trinity Village,2727 Kingsway Drive,Kitchener,", Ontario",N2C 1A7,(519) 893-3432,(519) 893-6320,http://www.trinityvillage.com
Cardy Winters & Simon LLP,"630 Riverbend Dr, Suite 103",Kitchener,", Ontario",N2K 3S2,(519) 579-7576,(519) 744-4030,http://www.cwscpa.ca
Glenbriar Bottled Water Co Ltd,183 Frobisher Drive,Waterloo,", Ontario",N2V 2G4,(519) 747-0547,(519) 747-0500,http://www.glenbriarwater.ca
Active Therapy Solutions,65 University Avenue East,Waterloo,", Ontario",N2J 2V9,(519) 884-8725,(519) 884-8186,
Giffen LLP,"50 Queen St N, Suite 500",Kitchener,", Ontario",N2H 6P4,(519) 578-8740,(519) 578-4150,http://www.giffenlawyers.com
Twinlode Canada,"55 Northfield Drive East, Suite 201",Waterloo,", Ontario",N2K 3T6,(519) 746-3049,(519) 746-1112,http://www.twinlode.ca
Prestige Business Interiors Inc,"60 Northland Rd, Unit 5",Waterloo,", Ontario",N2V 2B8,(519) 886-0015,(519) 886-9948,http://www.prestigebusinessinteriors.com
Golf's Steak House & Seafood,598 Lancaster Street West,Kitchener,", Ontario",N2K 1M3,(519) 579-3778,(519) 579-4050,http://www.golfssteakhouse.com
The Cadillac Fairview Corporation Limited,Administration Office,Kitchener,", Ontario",N2C 1X1,(519) 893-4766,(519) 894-2450,http://www.cadillacfairview.com
Choice Properties REIT,875 Highland Road West,Kitchener,", Ontario",N2N 2Y2,(519) 578-4423,(519) 578-6061,http://www.choicereit.ca
Gowling WLG (Canada) LLP,"50 Queen St N, Suite 1020",Kitchener,", Ontario",N2H 6M2,(519) 576-6361,(519) 576-6910,http://www.gowlingwlg.com
My VIP,340 Southgate Drive,Guelph,", Ontario",N1G 4P5,(519) 827-0585,(519) 827-0513,
H. Wolynetz Investments Ltd,"280 Victoria St N, Unit 5",Kitchener,", Ontario",N2H 5E2,(519) 579-6334,(519) 579-2650,
AET Group Inc.,531 Wellington Street North,Kitchener,", Ontario",N2H 5L6,(519) 570-9589,(519) 576-9723,http://www.aet98.com
